,nombreVoluntario,serviciosDisponibles,estrellas,opinion,nombreMiembro,fotoMiembro
1583,Rosario Lastra,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia']",2,No ha podido ayudarme en lo que necesitaba,Telmo Jordán,perfil_1mm.png
1584,Otilia Tovar,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día']",2,No ha ido mal,Irene Noguera,perfil_4mh.png
1585,Rosenda Comas,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",3,Estoy contenta,Mónica Prado,perfil_7mh.png
1586,Victoriano Ochoa,['Nuevas Tecnologías'],4,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Toño Sandoval,perfil_6mh.png
1587,Nazaret Pi,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",3,Me ha ayudado mucho,Jose Carlos Sotelo,perfil_12mh.png
1588,Xavier Fabregat,"['El día a día', 'Servicios del Municipio']",3,Es muy amable,Teófila Solsona,perfil_7mh.png
1589,José Reig,"['Salud', 'Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",1,No habla mucho,Florencio Mulet,perfil_7mh.png
1590,Armando Monreal,"['Nuevas Tecnologías', 'Burocracia', 'Servicios del Municipio']",1,No me pudo acompañar donde yo quería,Joan Barranco,perfil_1mm.png
1591,Marcela Piquer,"['Nuevas Tecnologías', 'Salud', 'El día a día', 'Servicios del Municipio']",4,No hubiera podido está más feliz,Candelario Bello,perfil_14mm.png
1592,Rolando Cornejo,"['Nuevas Tecnologías', 'Amigos y Ocio', 'Burocracia']",2,Puede mejorar,Ana Sofía Taboada,perfil_4mh.png
1593,Ana Sofía Vallés,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Servicios del Municipio']",3,Ha podido ayudarme en algunas cosas,Pastor Verdugo,perfil_7mh.png
1594,Dominga Mármol,"['Nuevas Tecnologías', 'El día a día', 'Servicios del Municipio']",5,Encantado con toda la ayuda que he recibido,Lisandro Cuenca,perfil_10mh.png
1595,Ruth Cabrera,"['Burocracia', 'Servicios del Municipio']",1,No me pudo acompañar donde yo quería,Azahar Castellanos,perfil_1mm.png
1596,Sandra Sacristán,"['Nuevas Tecnologías', 'Amigos y Ocio', 'Servicios del Municipio']",2,Es amable aunque no divertida,Matías Carranza,perfil_9mm.png
1597,Cornelio Zorrilla,"['Burocracia', 'Servicios del Municipio']",5,No puedo estar más agradecida,Timoteo Sarabia,perfil_6mh.png
1598,Visitación Saura,"['El día a día', 'Servicios del Municipio']",3,Un día agradable,Faustino Bonet,perfil_6mh.png
1599,Albino Cobos,"['Nuevas Tecnologías', 'El día a día']",3,Me ha resuelto muchas dudas,Hugo Valls,perfil_13mm.png
1600,Sebastián Soria,"['El día a día', 'Burocracia']",5,No puedo estar más agradecida,Prudencia Cepeda,perfil_9mm.png
1601,Merche Nevado,"['Salud', 'El día a día', 'Burocracia', 'Servicios del Municipio']",2,"Bueno, podría mejorar",Alondra Alemany,perfil_6mh.png
1602,Estrella Puga,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia']",2,Está normal,Benito Amor,perfil_6mh.png
1603,Florentina Pinto,['Servicios del Municipio'],3,Un día agradable,Severino Molina,perfil_6mh.png
1604,Maximiliano Guitart,"['Amigos y Ocio', 'El día a día']",3,Es muy amable,Carla Vilar,perfil_14mm.png
1605,Evangelina Madrigal,"['El día a día', 'Burocracia', 'Servicios del Municipio']",1,Llegó tarde,Juan Pablo Crespi,perfil_1mm.png
1606,Javi Botella,"['Nuevas Tecnologías', 'Amigos y Ocio']",1,No es muy habladora,Sabas Ojeda,perfil_4mh.png
1607,Toño Salcedo,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia']",4,No hubiera podido está más feliz,Victor Manuel Bravo,perfil_4mh.png
1608,Flavio Palmer,['Amigos y Ocio'],4,No puedo estar más agradecida,Guillermo Iglesia,perfil_13mm.png
1609,Reinaldo Coello,"['Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",4,Fue un día estupendo,Maxi Palomares,perfil_9mm.png
1610,Jose Ignacio Escolano,['Nuevas Tecnologías'],1,No sabía lo que le pedía,Maximino Lucas,perfil_1mm.png
1611,Francisco Piñeiro,"['El día a día', 'Servicios del Municipio']",3,Me acompañó en lo que necesitaba,Ana Corbacho,perfil_4mh.png
1612,Estefanía Hernando,"['Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",2,No ha ido mal,Cintia Saavedra,perfil_10mh.png
1613,Anastasia Clemente,"['Nuevas Tecnologías', 'Burocracia', 'Servicios del Municipio']",4,No hubiera podido está más feliz,Patricio Paniagua,perfil_10mh.png
1614,Jesús Serra,"['Salud', 'Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",2,Está normal,Pancho Mir,perfil_4mh.png
1615,Felicia Izquierdo,"['Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",4,Fue un día estupendo,Felicidad Palacios,perfil_1mm.png
1616,Ángel Jara,['Amigos y Ocio'],2,No terminó de ayudarme,Jose Manuel Nicolau,perfil_1mm.png
1617,Griselda Sola,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",5,"Gracias, ha sido toda una experiencia",Belen Peñalver,perfil_13mm.png
1618,Valentina Benavent,"['Nuevas Tecnologías', 'Amigos y Ocio']",1,No es muy habladora,Brunilda Palomino,perfil_1mm.png
1619,Vasco Ojeda,['El día a día'],2,No ha ido mal,Olegario Rebollo,perfil_12mh.png
1620,Diana Martínez,"['Salud', 'Burocracia', 'Servicios del Municipio']",1,No es muy habladora,Sosimo Ferrán,perfil_4mh.png
1621,Feliciana Rodrigo,"['Salud', 'El día a día', 'Servicios del Municipio']",3,Me ha ayudado en lo que le he pedido,Leyre López,perfil_10mh.png
1622,Jenny Matas,"['Salud', 'El día a día', 'Servicios del Municipio']",2,El servicio no estuvo mal,Maribel Enríquez,perfil_12mh.png
1623,Heliodoro Planas,"['Nuevas Tecnologías', 'El día a día', 'Burocracia']",4,No puedo estar más agradecida,Teobaldo Millán,perfil_4mh.png
1624,Reyna Tomas,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",5,No hubiera podido estar más feliz,Clímaco Checa,perfil_6mh.png
1625,Feliciana Cantón,"['Amigos y Ocio', 'El día a día']",5,Me ayudó mucho en casa,Marino Echevarría,perfil_1mm.png
1626,Amador Llopis,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",4,No puedo estar más agradecida,Leoncio Aguirre,perfil_7mh.png
1627,Jose Ignacio Godoy,"['Nuevas Tecnologías', 'Salud', 'El día a día', 'Burocracia', 'Servicios del Municipio']",2,No terminó de ayudarme,Zoraida Ródenas,perfil_9mm.png
1628,Emilio Calatayud,"['Nuevas Tecnologías', 'Burocracia']",2,No sabía lo que le pedía,Miguela Diez,perfil_1mm.png
1629,Inmaculada Bonet,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",5,Es un encanto y me ayudó a hablar con mis nietos,Lilia Tovar,perfil_14mm.png
1630,Dominga Roca,"['Salud', 'Servicios del Municipio']",5,Fue un día estupendo,Remigio Llamas,perfil_7mh.png
1631,Amílcar Andrés,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio']",5,Fue un día estupendo,María Ángeles Cuesta,perfil_10mh.png
1632,Ciro Gil,['Burocracia'],3,Me ha ayudado en lo que le he pedido,Consuela Gómez,perfil_8mm.png
1633,Joan Vazquez,"['Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",1,Al final tuvo que irse antes,Narciso Rico,perfil_6mh.png
1634,Eligia Amor,"['Salud', 'El día a día']",3,Me ha ayudado en lo que le he pedido,Omar Jove,perfil_7mh.png
1635,Chelo Flor,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio']",2,Es amable aunque no divertida,Luis Franco,perfil_12mh.png
1636,Lilia Rivas,"['Nuevas Tecnologías', 'Salud', 'El día a día']",2,"Bueno, podría mejorar",Marcos Galiano,perfil_1mm.png
1637,Isidro Sanchez,"['Amigos y Ocio', 'El día a día', 'Burocracia']",1,El día podría haber estado mejor,Rolando Bayo,perfil_7mh.png
1638,Dolores Lobo,"['Nuevas Tecnologías', 'Servicios del Municipio']",4,No puedo estar más agradecida,Salvador Montoya,perfil_6mh.png
1639,Nydia Agudo,"['Amigos y Ocio', 'Burocracia']",4,No hubiera podido está más feliz,Paco Moreno,perfil_8mm.png
1640,Martina Cuervo,['El día a día'],3,Me acompañó en lo que necesitaba,Leonardo Guardiola,perfil_1mm.png
1641,José Rocamora,"['Nuevas Tecnologías', 'Salud', 'El día a día', 'Burocracia', 'Servicios del Municipio']",1,No me arregló los papeles,Gonzalo Fiol,perfil_7mh.png
1642,Noé Cortés,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día']",1,Tuvo muy poca paciencia,América Giner,perfil_13mm.png
1643,Ildefonso Navarro,['Salud'],1,No sabía lo que le pedía,Cleto Peinado,perfil_10mh.png
1644,Cristian Bru,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Servicios del Municipio']",3,Es muy amable,Jose Manuel Cueto,perfil_13mm.png
1645,Ricardo Caballero,['Burocracia'],2,Está normal,Rosendo Roig,perfil_12mh.png
1646,Plinio Núñez,"['Salud', 'El día a día']",3,Me acompañó en lo que necesitaba,Dafne Hidalgo,perfil_14mm.png
1647,Elisabet Lamas,"['Salud', 'El día a día', 'Servicios del Municipio']",3,Bien,Irma Sosa,perfil_1mm.png
1648,Noemí Aroca,"['Nuevas Tecnologías', 'El día a día', 'Burocracia', 'Servicios del Municipio']",5,No puedo estar más agradecida,Domingo Laguna,perfil_6mh.png
1649,Luna Segovia,"['Nuevas Tecnologías', 'El día a día', 'Servicios del Municipio']",5,No puedo estar más agradecida,Agapito Gibert,perfil_4mh.png
1650,Brunilda Casanovas,['El día a día'],4,Es un encanto y me ayudó a hablar con mis nietos,Adelardo Perales,perfil_13mm.png
1651,Ágata Pinedo,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",3,Me ha ayudado en lo que le he pedido,Clotilde Torrents,perfil_8mm.png
1652,Cayetano Marcos,"['Salud', 'Burocracia']",2,Está normal,Susanita Sancho,perfil_13mm.png
1653,Paula Pardo,"['Nuevas Tecnologías', 'Salud', 'El día a día', 'Servicios del Municipio']",3,Me ha ayudado mucho,Tomasa Muñoz,perfil_1mm.png
1654,Crescencia Fernandez,"['Nuevas Tecnologías', 'Salud', 'El día a día']",4,Fue un día estupendo,Ruth Cuervo,perfil_10mh.png
1655,Julie Baños,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",1,El día podría haber estado mejor,Octavia Sanmiguel,perfil_13mm.png
1656,Artemio Goñi,"['Nuevas Tecnologías', 'Servicios del Municipio']",5,Me ayudó mucho en casa,Teófilo Santamaría,perfil_13mm.png
1657,María Teresa Mancebo,"['Nuevas Tecnologías', 'Amigos y Ocio']",4,Es un encanto y me ayudó a hablar con mis nietos,Lidia Gutierrez,perfil_9mm.png
1658,Cebrián Guerrero,"['Nuevas Tecnologías', 'Salud']",2,"Bueno, podría mejorar",Consuelo Torrent,perfil_10mh.png
1659,Roxana Cabrero,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",5,Qué bien que pudo ayudarme con mis papeles,Anabel Barberá,perfil_9mm.png
1660,Ricardo Santana,"['Nuevas Tecnologías', 'Salud', 'El día a día', 'Burocracia', 'Servicios del Municipio']",1,No pudo ayudarme,Nazario Rosado,perfil_8mm.png
1661,Fabiola Patiño,"['Nuevas Tecnologías', 'Salud', 'El día a día']",1,No pudo ayudarme,Daniela Lago,perfil_12mh.png
1662,Fermín Pellicer,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día']",3,Me ayudó en lo que necesitaba,Griselda Ureña,perfil_13mm.png
1663,Pedro Gallego,"['Salud', 'Amigos y Ocio']",1,Tuvo muy poca paciencia,Aura Ortiz,perfil_9mm.png
1664,Herminia Lasa,"['Amigos y Ocio', 'El día a día', 'Burocracia']",5,Es un encanto y me ayudó a hablar con mis nietos,Irma Vazquez,perfil_6mh.png
1665,Judith Bellido,"['El día a día', 'Burocracia']",1,No sabía lo que le pedía,Eleuterio Hernando,perfil_4mh.png
1666,Emelina Donoso,"['Salud', 'Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",5,Fue un día estupendo,Virgilio Nogueira,perfil_7mh.png
1667,Bibiana Hierro,"['Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",5,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Laura Español,perfil_1mm.png
1668,Fernando Sevilla,"['Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",2,No ha ido mal,Guillermo Ropero,perfil_13mm.png
1669,Reynaldo Lerma,"['Nuevas Tecnologías', 'El día a día', 'Servicios del Municipio']",5,Encantado con toda la ayuda que he recibido,Georgina Andrade,perfil_1mm.png
1670,Ángela Gimenez,"['Nuevas Tecnologías', 'Burocracia']",1,No sabía lo que le pedía,Tomás Vicente,perfil_8mm.png
1671,Isidora Morata,"['Nuevas Tecnologías', 'El día a día', 'Servicios del Municipio']",2,El servicio no estuvo mal,Valentina Baró,perfil_9mm.png
1672,Pía Barba,"['Burocracia', 'Servicios del Municipio']",4,No puedo estar más agradecida,Cosme Robledo,perfil_12mh.png
1673,Jenaro Antón,"['Amigos y Ocio', 'Burocracia']",4,No puedo estar más agradecida,Toribio Barceló,perfil_13mm.png
1674,Noa Moles,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Servicios del Municipio']",4,No hubiera podido está más feliz,Emelina Guzman,perfil_7mh.png
1675,Salvador Leal,"['Salud', 'Amigos y Ocio', 'Servicios del Municipio']",1,No me arregló los papeles,Sancho Torrens,perfil_10mh.png
1676,Blas Galván,"['Nuevas Tecnologías', 'Salud', 'El día a día']",3,Me ha resuelto muchas dudas,Joaquín Terrón,perfil_10mh.png
1677,Xiomara Miranda,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",3,Ha estado bien,Gustavo Rocamora,perfil_12mh.png
1678,Ibán Valera,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",4,No puedo estar más agradecida,Julia Cárdenas,perfil_6mh.png
1679,Ruy Segarra,"['Salud', 'Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",3,Bien,Blas Santamaria,perfil_4mh.png
1680,Eric Landa,['Servicios del Municipio'],1,El día podría haber estado mejor,Joan Caballero,perfil_1mm.png
1681,Emilio Huerta,['Burocracia'],2,No sabía lo que le pedía,Amanda Coronado,perfil_13mm.png
1682,Marcela Jódar,"['Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",1,No habla mucho,Amador Mosquera,perfil_7mh.png
1683,Margarita Romero,['Nuevas Tecnologías'],5,Me ayudó mucho en casa,Remigio Tamayo,perfil_14mm.png
1684,Tomasa Pujol,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",5,Qué bien que pudo ayudarme con mis papeles,Victoriano Ferrández,perfil_12mh.png
1685,Porfirio Chacón,"['Nuevas Tecnologías', 'Amigos y Ocio']",3,Es muy amable,Baudelio Barriga,perfil_1mm.png
1686,Araceli Uriarte,"['Nuevas Tecnologías', 'Amigos y Ocio', 'Burocracia']",1,Llegó tarde,Heliodoro Aguiló,perfil_4mh.png
1687,Ciriaco Arévalo,['Amigos y Ocio'],1,No habla mucho,Dimas Feijoo,perfil_9mm.png
1688,Rosalinda Canals,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",5,No hubiera podido estar más feliz,Juanito Oller,perfil_14mm.png
1689,Ezequiel Cuesta,['El día a día'],3,Es muy amable,Hermenegildo Gonzalez,perfil_8mm.png
1690,Mónica Bartolomé,"['Nuevas Tecnologías', 'Burocracia', 'Servicios del Municipio']",2,No ha podido ayudarme en lo que necesitaba,América Briones,perfil_13mm.png
1691,Rogelio Pizarro,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día']",1,No habla mucho,Edelmiro Cantón,perfil_6mh.png
1692,Débora Solé,['Nuevas Tecnologías'],4,Es un encanto y me ayudó a hablar con mis nietos,Calista Ochoa,perfil_8mm.png
1693,Benigna Iglesias,"['Amigos y Ocio', 'El día a día', 'Burocracia']",5,Encantado con toda la ayuda que he recibido,Teodosio Bayón,perfil_6mh.png
1694,Carolina Alberdi,"['El día a día', 'Burocracia', 'Servicios del Municipio']",4,No puedo estar más agradecida,Amaro Peral,perfil_13mm.png
1695,Irma Carbó,['Burocracia'],3,Bien,Isaura Riquelme,perfil_13mm.png
1696,Isabel Nieto,"['Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",4,No hubiera podido está más feliz,Valerio Bayona,perfil_13mm.png
1697,Dani Marin,"['Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",2,No terminó de ayudarme,Eduardo Villaverde,perfil_10mh.png
1698,Trinidad Cruz,['Burocracia'],1,Al final tuvo que irse antes,Marita Blanch,perfil_8mm.png
1699,Wilfredo Acero,"['El día a día', 'Burocracia']",2,No ha podido ayudarme en lo que necesitaba,Chita Segovia,perfil_13mm.png
1700,Lorenza Lago,"['Nuevas Tecnologías', 'Burocracia']",2,Es amable aunque no divertida,Febe Vizcaíno,perfil_7mh.png
1701,Angelita Escalona,"['Nuevas Tecnologías', 'Salud', 'Servicios del Municipio']",1,Llegó tarde,Heliodoro Benavides,perfil_4mh.png
1702,Anunciación Camino,"['Amigos y Ocio', 'El día a día']",1,Tuvo muy poca paciencia,Eulalia Torre,perfil_4mh.png
1703,Sabina Martín,"['Salud', 'Burocracia']",4,No hubiera podido está más feliz,Juanita Tomé,perfil_9mm.png
1704,Prudencia Vera,['Nuevas Tecnologías'],5,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Adora Roldán,perfil_7mh.png
1705,Emelina Coronado,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia']",3,Bien,Ignacio Canals,perfil_8mm.png
1706,Raúl Cuéllar,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día']",4,No puedo estar más agradecida,Rosalía Aliaga,perfil_1mm.png
1707,Calista Abascal,"['Salud', 'El día a día', 'Servicios del Municipio']",1,No pudo ayudarme,Ramiro Perea,perfil_7mh.png
1708,Elena Morante,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",5,Me ayudó mucho en casa,Magdalena Dominguez,perfil_12mh.png
1709,Amaya Aliaga,"['Amigos y Ocio', 'El día a día']",1,No me ayudó nada,Remedios Reina,perfil_6mh.png
1710,Dani Parejo,['Nuevas Tecnologías'],5,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Juan Manuel Rios,perfil_9mm.png
1711,Selena Meléndez,"['Nuevas Tecnologías', 'Salud', 'Burocracia', 'Servicios del Municipio']",3,Me ha ayudado mucho,Demetrio Guillén,perfil_13mm.png
1712,Jose Barco,"['Salud', 'Burocracia', 'Servicios del Municipio']",2,No ha ido mal,Mamen Álvarez,perfil_4mh.png
1713,Jose Angel Bermúdez,"['Salud', 'El día a día', 'Servicios del Municipio']",4,No puedo estar más agradecida,Olegario Barreda,perfil_13mm.png
1714,Che Torre,"['Salud', 'Servicios del Municipio']",5,Es un encanto y me ayudó a hablar con mis nietos,Ileana Morales,perfil_10mh.png
1715,Olalla Bayón,"['El día a día', 'Burocracia', 'Servicios del Municipio']",4,Fue un día estupendo,Amador Llopis,perfil_voluntario_6.png
1716,Martirio Casas,"['El día a día', 'Burocracia', 'Servicios del Municipio']",2,"Bueno, podría mejorar",Emilio Calatayud,perfil_voluntaria_2.png
1717,Eduardo Talavera,"['Nuevas Tecnologías', 'Servicios del Municipio']",2,Es amable aunque no divertida,Dominga Roca,perfil_voluntaria_10.png
1718,Carmela Dalmau,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",2,No ha podido ayudarme en lo que necesitaba,Ciro Gil,perfil_voluntario_2.png
1719,Juan Manuel Álamo,"['Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",3,Es muy amable,Joan Vazquez,perfil_voluntario_7.png
1720,Salud Rocha,"['Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",2,Ha llegado tarde,Eligia Amor,perfil_11vm.png
1721,Héctor Font,"['Nuevas Tecnologías', 'Burocracia', 'Servicios del Municipio']",5,Fue un día estupendo,Chelo Flor,perfil_voluntario_5.png
1722,Leyre Mesa,"['Nuevas Tecnologías', 'Salud']",4,No puedo estar más agradecida,Lilia Rivas,perfil_voluntario_8.png
1723,Sabas Perea,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",4,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Nydia Agudo,perfil_voluntaria_8.png
1724,Urbano Villar,"['Burocracia', 'Servicios del Municipio']",2,No ha podido ayudarme en lo que necesitaba,Martina Cuervo,perfil_voluntario_7.png
1725,Vito Carrillo,"['Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",3,Me ha ayudado mucho,José Rocamora,perfil_voluntaria_6.png
1726,Jose Miguel Gomila,"['Nuevas Tecnologías', 'Amigos y Ocio', 'Burocracia']",4,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Ildefonso Navarro,perfil_voluntaria_3.png
1727,Bernardo Neira,['El día a día'],3,Gran dia,Plinio Núñez,perfil_voluntaria_8.png
1728,Alfonso Grau,"['Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",5,No hubiera podido estar más feliz,Elisabet Lamas,perfil_voluntaria_8.png
1729,Dionisia Giménez,"['Salud', 'Servicios del Municipio']",3,Gracias,Noemí Aroca,perfil_voluntario_5.png
1730,Adrián Belda,"['Amigos y Ocio', 'El día a día']",5,No hubiera podido estar más feliz,Brunilda Casanovas,perfil_voluntaria_6.png
1731,Laura Barral,"['Salud', 'Burocracia']",1,No me ayudó nada,Ágata Pinedo,perfil_voluntaria_1.png
1732,Jenaro Bauzà,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",2,No sabía lo que le pedía,Julie Baños,perfil_voluntario_9.png
1733,Vicenta Angulo,"['Amigos y Ocio', 'Burocracia']",2,No sabía lo que le pedía,Artemio Goñi,perfil_voluntaria_1.png
1734,Rosalina Murillo,"['Salud', 'Amigos y Ocio']",1,No me arregló los papeles,María Teresa Mancebo,perfil_voluntario_10.png
1735,Calisto Vilaplana,['Nuevas Tecnologías'],3,Me ha ayudado mucho,Cebrián Guerrero,perfil_voluntario_10.png
1736,Jordán Lopez,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",1,No habla mucho,Fabiola Patiño,perfil_3vh.png
1737,Haydée Torralba,"['Amigos y Ocio', 'Burocracia']",2,Es amable aunque no divertida,Fermín Pellicer,perfil_11vm.png
1738,Iker Catalán,"['Nuevas Tecnologías', 'El día a día', 'Burocracia', 'Servicios del Municipio']",3,Me ha ayudado mucho,Judith Bellido,perfil_voluntario_1.png
1739,Loreto Suárez,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",1,Llegó tarde,Emelina Donoso,perfil_voluntaria_7.png
1740,Jose Carlos Ramírez,"['Amigos y Ocio', 'Burocracia']",2,Puede mejorar,Bibiana Hierro,perfil_2vm.png
1741,Goyo Busquets,"['Salud', 'Burocracia', 'Servicios del Municipio']",3,Me ha ayudado en lo que le he pedido,Fernando Sevilla,perfil_voluntario_7.png
1742,Cleto Rosa,"['Amigos y Ocio', 'El día a día', 'Burocracia']",3,Gracias,Isidora Morata,perfil_voluntario_2.png
1743,Paulino Roda,['Amigos y Ocio'],1,Al final tuvo que irse antes,Jenaro Antón,perfil_voluntaria_10.png
1744,Segismundo Solera,"['El día a día', 'Servicios del Municipio']",4,Fue un día estupendo,Noa Moles,perfil_voluntario_6.png
1745,Rosario Balaguer,['Servicios del Municipio'],1,Llegó tarde,Blas Galván,perfil_voluntario_8.png
1746,Ignacia Cabello,['El día a día'],1,No me entendía,Xiomara Miranda,perfil_voluntario_2.png
1747,Benjamín Quevedo,"['Nuevas Tecnologías', 'El día a día', 'Servicios del Municipio']",3,Ha estado bien,Ruy Segarra,perfil_voluntario_2.png
1748,Luisa Nicolau,"['Amigos y Ocio', 'El día a día', 'Burocracia']",2,"Bueno, podría mejorar",Marcela Jódar,perfil_5vh.png
1749,Nereida Canales,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",5,No puedo estar más agradecida,Margarita Romero,perfil_voluntario_8.png
1750,Jose Ramón Feliu,"['Nuevas Tecnologías', 'Burocracia', 'Servicios del Municipio']",4,No puedo estar más agradecida,Araceli Uriarte,perfil_voluntario_8.png
1751,Goyo Sanabria,"['Salud', 'Burocracia', 'Servicios del Municipio']",5,Es un encanto y me ayudó a hablar con mis nietos,Ciriaco Arévalo,perfil_5vh.png
1752,Enrique Español,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",4,Es un encanto y me ayudó a hablar con mis nietos,Rosalinda Canals,perfil_voluntaria_3.png
1753,León Sevillano,"['Nuevas Tecnologías', 'Burocracia']",2,Es amable aunque no divertida,Rogelio Pizarro,perfil_11vm.png
1754,Josep Benet,"['Nuevas Tecnologías', 'Salud', 'El día a día']",5,Me ayudó mucho en casa,Débora Solé,perfil_3vh.png
1755,Venceslás Cabañas,"['Nuevas Tecnologías', 'Salud', 'El día a día', 'Burocracia', 'Servicios del Municipio']",2,Puede mejorar,Benigna Iglesias,perfil_2vm.png
1756,Aureliano Alcolea,"['Nuevas Tecnologías', 'Salud']",2,Está normal,Carolina Alberdi,perfil_voluntario_8.png
1757,Ciro Guzmán,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",2,El servicio no estuvo mal,Wilfredo Acero,perfil_voluntaria_1.png
1758,Flavio Ramos,"['Nuevas Tecnologías', 'Amigos y Ocio']",1,Llegó tarde,Angelita Escalona,perfil_voluntaria_7.png
1759,Amalia Teruel,['Amigos y Ocio'],2,Es amable aunque no divertida,Sabina Martín,perfil_voluntaria_3.png
1760,Ignacio Quero,"['Nuevas Tecnologías', 'Salud', 'El día a día', 'Servicios del Municipio']",5,Es un encanto y me ayudó a hablar con mis nietos,Emelina Coronado,perfil_11vm.png
1761,Vanesa Cózar,"['Salud', 'Burocracia']",3,Ha estado bien,Raúl Cuéllar,perfil_voluntaria_10.png
1762,Reynaldo Abril,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",1,No habla mucho,Calista Abascal,perfil_voluntario_6.png
1763,Rosario Lara,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia']",3,Estoy contenta,Elena Morante,perfil_voluntaria_10.png
1764,Ángeles Sanz,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",2,Está normal,Jose Barco,perfil_5vh.png
